name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
Wu Tsai Institute | Yale University,WuTsaiYale,1360317618796851201,false,2021-02-12 15:00:27,Our mission is to understand human cognition and explore human potential by sparking interdisciplinary inquiry. #KnowTogether,676,3077,321,1558,"New Haven, CT",112,https://pbs.twimg.com/profile_banners/1360317618796851201/1613488044,https://www.twitter.com/WuTsaiYale,https://pbs.twimg.com/profile_images/1661021080805597186/IpEj-gCU_normal.jpg,false,true
Yale Black Postdoctoral Association,YaleBPA,1296118890565644288,false,2020-08-19 12:16:55,The official Twitter account for the @Yale Black #Postdoc Association #BlackAndSTEM,433,825,119,512,"New Haven, CT",82,https://pbs.twimg.com/profile_banners/1296118890565644288/1597854353,https://www.twitter.com/YaleBPA,https://pbs.twimg.com/profile_images/1296121212486262784/1Lz_jYB9_normal.jpg,false,false
Yale Baseball,YaleBaseball,737845856,false,2012-08-04 22:34:59,"The Official Twitter Account of Yale Baseball. 2017 Ivy League Tournament Champions. Back to Back Regular Season Champs ('17, '18). #ThisIsYale @Yalebsbrecruit",3980,20518,267,1756,"New Haven, CT",1190,https://pbs.twimg.com/profile_banners/737845856/1656653667,https://www.twitter.com/YaleBaseball,https://pbs.twimg.com/profile_images/1542743499010764802/JYv8U9e__normal.jpg,false,false
Kerry Initiative,KerryInitiative,893124933479432192,false,2017-08-03 11:02:32,"The Kerry Initiative at Yale is an interdisciplinary program that tackles pressing global challenges through teaching, research, and international dialogue.",145,1152,85,43,,43,https://pbs.twimg.com/profile_banners/893124933479432192/1525874233,https://www.twitter.com/KerryInitiative,https://pbs.twimg.com/profile_images/916395808479514624/UtXatDLD_normal.jpg,false,false
Yale Social and Behavioral Sciences,SBS_Yale,1030479638471090181,false,2018-08-17 11:41:05,The Department of Social and Behavioral Sciences @YaleSPH aims to understand and improve health equity and social justice.,1033,3865,358,548,"New Haven, CT",86,https://pbs.twimg.com/profile_banners/1030479638471090181/1534520672,https://www.twitter.com/SBS_Yale,https://pbs.twimg.com/profile_images/1030480355961131009/Ztr9SPm8_normal.jpg,false,false
Jeffrey Brock,ProfJeffBrock,792776465427394560,false,2016-10-30 13:13:33,"Dean, School of Engineering & Applied Science - @YaleSEAS. Zhao & Ji Professor of Mathematics at @Yale. Jazz bassist, sculler, father. Tweets are my own views.",887,1440,1950,3842,"Hamden, CT",30,https://pbs.twimg.com/profile_banners/792776465427394560/1616512026,https://www.twitter.com/ProfJeffBrock,https://pbs.twimg.com/profile_images/792781721372651520/71xgc4re_normal.jpg,false,false
Yale Women’s Basketball,YaleWBasketball,366237769,false,2011-09-01 16:33:06,The official Twitter account of Yale Women's Basketball. NCAA Division I & Ivy League Member. #ThisIsYale,7921,10159,368,1503,"New Haven, CT",3608,https://pbs.twimg.com/profile_banners/366237769/1656654793,https://www.twitter.com/YaleWBasketball,https://pbs.twimg.com/profile_images/1542748124996726784/oAYtCTpo_normal.jpg,false,false
Yale Env Humanities,YaleEnvHum,857277629862424576,false,2017-04-26 12:58:09,"Teaching, scholarship, and action at the intersection of the environment and the humanities",754,3068,141,73,,164,https://pbs.twimg.com/profile_banners/857277629862424576/1503665303,https://www.twitter.com/YaleEnvHum,https://pbs.twimg.com/profile_images/901047833293455360/Pkdo1Y_C_normal.jpg,false,false
Yale Data Science,yaledatascience,782022614785093632,true,2016-09-30 21:01:35,Yale Data Science,482,2020,166,372,"New Haven, CT",119,https://pbs.twimg.com/profile_banners/782022614785093632/1697135967,https://www.twitter.com/yaledatascience,https://pbs.twimg.com/profile_images/1712537833187983361/bYoqIrX3_normal.jpg,false,false
Yale Health Policy & Management,YaleHPM,880145595134029824,false,2017-06-28 15:27:17,"Department of Health Policy and Management, Yale School of Public Health, @yalesph. (Tweets by @jasonlschwartz)",429,1168,104,365,"New Haven, CT",17,https://pbs.twimg.com/profile_banners/880145595134029824/1498679429,https://www.twitter.com/YaleHPM,https://pbs.twimg.com/profile_images/880147328459472897/2gM2xNeB_normal.jpg,false,false
infonewhaven,InfoNewHaven,122140272,false,2010-03-11 13:38:23,"Official tourism account for Downtown New Haven, CT. Everything you need to know about dining, shopping, events & culture in the Elm City. #NHV",8436,6869,1136,5831,"New Haven, CT",2698,https://pbs.twimg.com/profile_banners/122140272/1642107320,https://www.twitter.com/InfoNewHaven,https://pbs.twimg.com/profile_images/1565500636736720896/4pMeoeXN_normal.jpg,false,false
Yale Surgery,YaleSurgery,839936975125819399,false,2017-03-09 15:32:35,The official account for the Yale School of Medicine Department of Surgery.,1152,4098,207,383,"New Haven, CT",239,https://pbs.twimg.com/profile_banners/839936975125819399/1679077521,https://www.twitter.com/YaleSurgery,https://pbs.twimg.com/profile_images/1159535967558131714/BAzMmQKv_normal.jpg,false,false
Yale Hacking Health,YaleHackHealth,4144754973,false,2015-11-08 17:23:47,"Yale CBIT annual Healthcare Hackathon, January 22-24 2021 hosted by @YaleCBIT",450,643,272,120,"New Haven, CT",210,https://pbs.twimg.com/profile_banners/4144754973/1542828752,https://www.twitter.com/YaleHackHealth,https://pbs.twimg.com/profile_images/1058106833506889728/wzcjP3KK_normal.jpg,false,false
Yale DHLab,YaleDHLab,3226835529,true,2015-05-01 16:15:47,"Space, community, and resources to support #digitalhumanities @yalelibrary. Office Hours resume late spring 2023 in Sterling Memorial Library.",508,1726,214,901,"New Haven, CT",105,https://pbs.twimg.com/profile_banners/3226835529/1539875105,https://www.twitter.com/YaleDHLab,https://pbs.twimg.com/profile_images/673907521313234944/WmuM7gbC_normal.png,false,false
CHIRAL,Yale_CHIRAL,740893391953788932,false,2016-06-09 09:08:44,Improving the quality of patient care transitions across the health continuum @YaleMed and @YNHH with critical @AHRQ support.,343,169,82,23,,10,https://pbs.twimg.com/profile_banners/740893391953788932/1487092429,https://www.twitter.com/Yale_CHIRAL,https://pbs.twimg.com/profile_images/831551850340048897/v5Er6zCe_normal.jpg,false,false
Moira Fitzgerald,moira_ann,10247762,false,2007-11-14 09:44:40,"Head of Access Services, Beinecke Rare Book & Manuscript Library, Yale University",432,442,486,11253,,83,https://pbs.twimg.com/profile_banners/10247762/1491693176,https://www.twitter.com/moira_ann,https://pbs.twimg.com/profile_images/914276327792025600/V4vYY9eS_normal.jpg,false,false
Lloyd Grieger,LloydGrieger,701113575251685376,false,2016-02-20 13:37:57,,331,391,243,666,,28,https://pbs.twimg.com/profile_banners/701113575251685376/1463448140,https://www.twitter.com/LloydGrieger,https://pbs.twimg.com/profile_images/722647719441997824/TnWq_7v__normal.jpg,false,false
AFRICA SALON UK,africasalon,4916783482,false,2016-02-15 19:43:29,🏴 global contemporary African arts festival ➿ Vivid Escapisms for an Interior 7/25 ◼️ not to be confused with the not-for-profit Yale Africa Salon,145,339,50,145,London,6,https://pbs.twimg.com/profile_banners/4916783482/1568657013,https://www.twitter.com/africasalon,https://pbs.twimg.com/profile_images/826390667811291137/ohaWQ9CA_normal.jpg,false,false
Edward A. Snyder,EdwardASnyder,4898869396,false,2016-02-11 13:28:39,"Professor Economics and Management - Yale School of Management.
Socially liberal, free-market economist who focuses on global issues.",228,1066,263,534,"New Haven, CT",33,https://pbs.twimg.com/profile_banners/4898869396/1455219413,https://www.twitter.com/EdwardASnyder,https://pbs.twimg.com/profile_images/697853888460951553/NFAareVe_normal.jpg,false,false
Yale OIA,Yale_OIA,4854756227,false,2016-01-27 15:19:28,"Yale University's Office of International Affairs supports the international activity of all schools, departments, offices, centers, and organizations at Yale.",1532,1420,366,1167,"New Haven, CT",300,https://pbs.twimg.com/profile_banners/4854756227/1468611936,https://www.twitter.com/Yale_OIA,https://pbs.twimg.com/profile_images/1164638072425918464/vWWifp6e_normal.png,false,false
Mark Gerstein,MarkGerstein,230944453,false,2010-12-26 23:31:33,"#Bioinformatics professor, interested in #DataScience, with photography, triathlons & non-fiction books as hobbies",6507,7896,897,2076,Yale,296,,https://www.twitter.com/MarkGerstein,https://pbs.twimg.com/profile_images/378800000232600610/b3683cc9f226a8173d08e6041cdee6ff_normal.jpeg,false,false
Stefan Simon 🇪🇺🇺🇸 @318 ppm CO2,mcsts,75975649,false,2009-09-21 02:57:51,Heritage scientist. Director Rathgen Research Laboratory. All tweets are personal. RTs no endorsement 💚@mcsts.bsky.social,6512,2058,1837,25825,Berlin - Olching - Houston,979,https://pbs.twimg.com/profile_banners/75975649/1684267027,https://www.twitter.com/mcsts,https://pbs.twimg.com/profile_images/1512525825425518595/ZEps1Kqh_normal.jpg,false,false
Robert J Shiller,RobertJShiller,583938358,false,2012-05-18 12:06:44,Economist at Yale University. Irrationally Exuberant.,276,191187,57,5,New Haven CT,10,https://pbs.twimg.com/profile_banners/583938358/1557257483,https://www.twitter.com/RobertJShiller,https://pbs.twimg.com/profile_images/378800000673579465/2b50ca97d43b1c4a53597accaa2dae5f_normal.jpeg,false,false
Schwarzman Scholars,SchwarzmanOrg,1365244806,false,2013-04-19 15:52:02,"🎓 Fully-funded one-year master's program in Global Affairs
📍 Schwarzman College, Tsinghua University in Beijing, China
💡 Shape the future",2636,19739,581,382,,839,https://pbs.twimg.com/profile_banners/1365244806/1689288827,https://www.twitter.com/SchwarzmanOrg,https://pbs.twimg.com/profile_images/1679625189951262720/t0pVlMOA_normal.png,false,false
YMSC,YaleCollection,621148893,false,2012-06-28 11:17:28,"The Morris Steinert Collection of Musical Instruments at Yale is currently closed to the public, but open for fun facts about musical instruments!",130,146,40,17,"New Haven, CT",10,https://pbs.twimg.com/profile_banners/621148893/1437073460,https://www.twitter.com/YaleCollection,https://pbs.twimg.com/profile_images/2349347507/collection_normal.jpg,false,false
